=== Training Log ===
================================================================
🚀 KLA HACKATHON: High-Performance GPU Training & Submission
⚡ Device: cuda (NVIDIA GeForce RTX 4060 Laptop GPU)
⚡ TF32 Tensor Cores: Enabled | PyTorch: 2.6.0+cu124
================================================================
Found 3200 training pairs, 400 test images.
Preloading contiguous tensor arrays into RAM...
✅ Tensors loaded: Train LR torch.Size([2880, 1, 128, 128]), HR torch.Size([2880, 1, 256, 256])
✅ Validation: 320 pairs
✅ Model: NAFNetSR (23.70M parameters)
Loading transferred checkpoint: C:\Users\shash\.gemini\antigravity-ide\scratch\kla_hackathon\kla_best_model.pth...
✅ Successfully resumed from Epoch 25 | Baseline Best PSNR: 27.82 dB

🚀 Training on RTX 4060: Epochs 25 -> 300 | Effective Batch: 16 | Charbonnier Loss

Epoch [121/300] (79.1s) | Loss: 0.02989 | Val PSNR: 28.41 dB | LR: 7.67e-04 🔥 [NEW BEST!]
Epoch [122/300] (78.3s) | Loss: 0.03419 | Val PSNR: 28.42 dB | LR: 7.62e-04 🔥 [NEW BEST!]
Epoch [123/300] (78.7s) | Loss: 0.03260 | Val PSNR: 28.39 dB | LR: 7.57e-04 
Epoch [124/300] (80.4s) | Loss: 0.03272 | Val PSNR: 28.36 dB | LR: 7.52e-04 
Epoch [125/300] (80.6s) | Loss: 0.03987 | Val PSNR: 28.31 dB | LR: 7.47e-04 
Epoch [126/300] (78.5s) | Loss: 0.03175 | Val PSNR: 28.16 dB | LR: 7.42e-04 
Epoch [127/300] (78.4s) | Loss: 0.03101 | Val PSNR: 27.21 dB | LR: 7.36e-04 
Epoch [128/300] (78.7s) | Loss: 0.03353 | Val PSNR: 27.42 dB | LR: 7.31e-04 
Epoch [129/300] (78.2s) | Loss: 0.03079 | Val PSNR: 28.12 dB | LR: 7.26e-04 
Epoch [130/300] (78.7s) | Loss: 0.03007 | Val PSNR: 28.33 dB | LR: 7.21e-04 
Epoch [131/300] (78.5s) | Loss: 0.03099 | Val PSNR: 28.36 dB | LR: 7.15e-04 
Epoch [132/300] (78.5s) | Loss: 0.03041 | Val PSNR: 28.11 dB | LR: 7.10e-04 
Epoch [133/300] (79.0s) | Loss: 0.03438 | Val PSNR: 27.43 dB | LR: 7.05e-04 
Epoch [134/300] (78.4s) | Loss: 0.03205 | Val PSNR: 27.28 dB | LR: 6.99e-04 
Epoch [135/300] (78.3s) | Loss: 0.03009 | Val PSNR: 27.28 dB | LR: 6.94e-04 
Epoch [136/300] (78.3s) | Loss: 0.03011 | Val PSNR: 27.39 dB | LR: 6.88e-04 
Epoch [137/300] (78.4s) | Loss: 0.02986 | Val PSNR: 27.83 dB | LR: 6.83e-04 
Epoch [138/300] (87.2s) | Loss: 0.02948 | Val PSNR: 28.24 dB | LR: 6.77e-04 
Epoch [139/300] (85.4s) | Loss: 0.02954 | Val PSNR: 28.35 dB | LR: 6.72e-04 
Epoch [140/300] (84.1s) | Loss: 0.02960 | Val PSNR: 28.44 dB | LR: 6.66e-04 🔥 [NEW BEST!]
Epoch [141/300] (95.4s) | Loss: 0.02976 | Val PSNR: 28.46 dB | LR: 6.60e-04 🔥 [NEW BEST!]
Epoch [142/300] (89.8s) | Loss: 0.02946 | Val PSNR: 28.47 dB | LR: 6.55e-04 🔥 [NEW BEST!]
Epoch [143/300] (92.4s) | Loss: 0.02935 | Val PSNR: 28.48 dB | LR: 6.49e-04 🔥 [NEW BEST!]
Epoch [144/300] (84.6s) | Loss: 0.03000 | Val PSNR: 28.48 dB | LR: 6.44e-04 🔥 [NEW BEST!]
Epoch [145/300] (84.4s) | Loss: 0.02944 | Val PSNR: 28.49 dB | LR: 6.38e-04 🔥 [NEW BEST!]
Epoch [146/300] (84.5s) | Loss: 0.02930 | Val PSNR: 28.50 dB | LR: 6.32e-04 🔥 [NEW BEST!]
Epoch [147/300] (84.9s) | Loss: 0.02923 | Val PSNR: 28.51 dB | LR: 6.26e-04 🔥 [NEW BEST!]
Epoch [148/300] (84.4s) | Loss: 0.02923 | Val PSNR: 28.52 dB | LR: 6.21e-04 🔥 [NEW BEST!]
Epoch [149/300] (84.5s) | Loss: 0.02935 | Val PSNR: 28.52 dB | LR: 6.15e-04 🔥 [NEW BEST!]
Epoch [150/300] (85.1s) | Loss: 0.02931 | Val PSNR: 28.53 dB | LR: 6.09e-04 🔥 [NEW BEST!]
Epoch [151/300] (84.5s) | Loss: 0.02911 | Val PSNR: 28.53 dB | LR: 6.03e-04 🔥 [NEW BEST!]
Epoch [152/300] (84.8s) | Loss: 0.03064 | Val PSNR: 28.54 dB | LR: 5.98e-04 🔥 [NEW BEST!]
Epoch [153/300] (84.4s) | Loss: 0.02921 | Val PSNR: 28.54 dB | LR: 5.92e-04 🔥 [NEW BEST!]
Epoch [154/300] (81.1s) | Loss: 0.03094 | Val PSNR: 28.54 dB | LR: 5.86e-04 🔥 [NEW BEST!]
Epoch [155/300] (78.2s) | Loss: 0.02975 | Val PSNR: 28.54 dB | LR: 5.80e-04 🔥 [NEW BEST!]
Epoch [156/300] (78.2s) | Loss: 0.02957 | Val PSNR: 28.54 dB | LR: 5.74e-04 🔥 [NEW BEST!]
Epoch [157/300] (78.3s) | Loss: 0.02993 | Val PSNR: 28.55 dB | LR: 5.68e-04 🔥 [NEW BEST!]
Epoch [158/300] (78.9s) | Loss: 0.03118 | Val PSNR: 28.47 dB | LR: 5.63e-04 
Epoch [159/300] (79.6s) | Loss: 0.02936 | Val PSNR: 28.47 dB | LR: 5.57e-04 
Epoch [160/300] (79.1s) | Loss: 0.02917 | Val PSNR: 28.51 dB | LR: 5.51e-04 
